Trait1	Trait2	RatioModified1	RatioModified2	OverlapProteins	OverlapProteoforms	Difference
AgeofOnset	Insulin_LikeGrowthFactorBindingProtein3	0.297297	0.444444	1	2	1
AgeofOnset	JointInstability	0.297297	0.571429	1	12	11
AgeofOnset	LungVolumeMeasurements	0.297297	0.219178	4	5	1
AgeofOnset	Menarche	0.297297	0.189394	3	4	1
AgeofOnset	Neuroimaging	0.297297	0.4	1	2	1
AgeofOnset	PlateletFunctionTests	0.297297	0.321212	6	7	1
AgeofOnset	PolycysticOvarySyndrome	0.297297	0.366667	1	2	1
AgeofOnset	Psoriasis	0.297297	0.222222	3	4	1
AgeofOnset	PulmonaryDiseaseChronicObstructive	0.297297	0.0909091	4	5	1
AgeofOnset	RespiratoryFunctionTests	0.297297	0.179487	5	6	1
AgeofOnset	Skin	0.297297	0.428571	1	4	3
AgeofOnset	SkinPigmentation	0.297297	0.357143	1	4	3
AgeofOnset	Smoking	0.297297	0.258824	3	5	2
AgeofOnset	Suntan	0.297297	0.2	1	4	3
AgeofOnset	TakotsuboCardiomyopathy	0.297297	0.5	1	2	1
AgeofOnset	Toluene24_Diisocyanate	0.297297	0.357143	1	4	3
AgeofOnset	Triglycerides	0.297297	0.279279	5	17	12
AgeofOnset	VaccinePotency	0.297297	0.49375	3	15	12
AgeofOnset	VaricoseVeins	0.297297	0.235294	1	2	1
AgeofOnset	Vitiligo	0.297297	0.0862069	2	5	3
Aggression	Aggression	0.857143	0.857143	1	7	6
Aggression	Psoriasis	0.857143	0.222222	1	7	6
Amyotrophiclateralsclerosis1	Amyotrophiclateralsclerosis1	0.347826	0.347826	16	23	7
Amyotrophiclateralsclerosis1	ArterialPressure	0.347826	0.176471	1	7	6
Amyotrophiclateralsclerosis1	ArthritisRheumatoid	0.347826	0.208633	1	7	6
Amyotrophiclateralsclerosis1	AttentionDeficitDisorderwithHyperactivity	0.347826	0.272727	2	8	6
Amyotrophiclateralsclerosis1	BrainMapping	0.347826	0.75	1	7	6
Amyotrophiclateralsclerosis1	CholangitisSclerosing	0.347826	0.40625	1	7	6
Amyotrophiclateralsclerosis1	PlateletFunctionTests	0.347826	0.321212	2	3	1
Amyotrophiclateralsclerosis1	Survival	0.347826	0.238095	1	2	1
Amyotrophiclateralsclerosis1	TumorNecrosisFactors	0.347826	0.8	1	7	6
Anemia	AlcoholDrinking	0.25	0.189189	2	3	1
Anemia	Anemia	0.25	0.25	3	4	1
Anemia	Hemochromatosis	0.25	0.5	1	2	1
Anemia	Hepcidins	0.25	0.222222	2	3	1
Anemia	Iron	0.25	0.166667	2	3	1
Anemia	Iron_BindingProteins	0.25	0.5	1	2	1
Anemia	PlateletFunctionTests	0.25	0.321212	1	2	1
Anemia	Selenium	0.25	0.25	2	3	1
Anemia	Transferrin	0.25	0.230769	2	3	1
Angiography	Angiography	0.285714	0.285714	6	7	1
Angiography	Betaine	0.285714	0.25	3	4	1
Angiopoietin_2	Angiopoietin_2	0.333333	0.333333	2	3	1
Angiopoietin_2	CognitionDisorders	0.333333	0.230769	1	2	1
Angiopoietin_2	EndothelialGrowthFactors	0.333333	0.333333	2	3	1
AnkleBrachialIndex	AnkleBrachialIndex	0.5	0.5	1	2	1
AntidepressiveAgents	AntidepressiveAgents	0.392857	0.392857	16	28	12
AntidepressiveAgents	ColitisUlcerative	0.392857	0.298507	1	2	1
AntidepressiveAgents	CrohnDisease	0.392857	0.254826	2	3	1
AntidepressiveAgents	DepressiveDisorder	0.392857	0.152778	7	8	1
AntidepressiveAgents	InflammatoryBowelDiseases	0.392857	0.301471	2	3	1
AntidepressiveAgents	SerotoninUptakeInhibitors	0.392857	0.0909091	3	4	1
Aorta	Aorta	0.619048	0.619048	9	21	12
Aorta	ArthritisJuvenile	0.619048	0.444444	1	12	11
Aorta	Asthma	0.619048	0.229885	1	2	1
Aorta	Autosomaldominantcompellinghelioophthalmicoutburstsyndrome	0.619048	0.272727	2	3	1
Aorta	BodyWeight	0.619048	0.335878	1	12	11
Aorta	Glaucoma	0.619048	0.647059	1	12	11
Aorta	GlaucomaAngle_Closure	0.619048	0.785714	1	12	11
Aorta	Longevity	0.619048	0.26087	1	2	1
Aorta	Menarche	0.619048	0.189394	1	12	11
Aorta	MyocardialInfarction	0.619048	0.418182	1	2	1
Aorta	PolychlorinatedBiphenyls	0.619048	0.357143	1	2	1
Aorta	TumorNecrosisFactors	0.619048	0.8	1	2	1
Aorta	lipoproteinA_I	0.619048	0.227273	1	2	1
AorticAneurysmThoracic	AorticAneurysmAbdominal	0.5	0.111111	1	2	1
AorticAneurysmThoracic	AorticAneurysmThoracic	0.5	0.5	1	2	1
AorticAneurysmThoracic	Cholesterol	0.5	0.231527	1	2	1
AorticAneurysmThoracic	CholesterolHDL	0.5	0.253472	1	2	1
AorticAneurysmThoracic	Education	0.5	0.317881	1	2	1
AorticAneurysmThoracic	IntracranialAneurysm	0.5	0.166667	1	2	1
AorticAneurysmThoracic	RefractiveErrors	0.5	0.157895	1	2	1
ApolipoproteinsE	ApolipoproteinsE	0.6	0.6	2	5	3
ApolipoproteinsE	AudiometryPure_Tone	0.6	0.318182	1	2	1
ApolipoproteinsE	C_ReactiveProtein	0.6	0.11194	1	2	1
ApolipoproteinsE	CarotidArteryDiseases	0.6	0.266667	1	2	1
ApolipoproteinsE	CholesterolHDL	0.6	0.253472	2	5	3
ApolipoproteinsE	Echocardiography	0.6	0.349398	1	2	1
ApolipoproteinsE	Fibrinogen	0.6	0.204819	1	2	1
ApolipoproteinsE	Glucose	0.6	0.244898	1	2	1
ApolipoproteinsE	HeartRate	0.6	0.272727	1	2	1
ApolipoproteinsE	Inflammation	0.6	0.4	1	2	1
ApolipoproteinsE	PlateletFunctionTests	0.6	0.321212	1	2	1
ApolipoproteinsE	Triglycerides	0.6	0.279279	1	2	1
ApolipoproteinsE	Voice	0.6	0.25	1	2	1
ArthritisJuvenile	Aorta	0.444444	0.619048	1	12	11
ArthritisJuvenile	ArthritisJuvenile	0.444444	0.444444	30	54	24
ArthritisJuvenile	Asthma	0.444444	0.229885	4	8	4
ArthritisJuvenile	AutoimmuneDiseases	0.444444	0.346939	21	34	13
ArthritisJuvenile	BehcetSyndrome	0.444444	0.0909091	1	2	1
ArthritisJuvenile	BodyMassIndex	0.444444	0.365989	2	6	4
ArthritisJuvenile	BodyWeight	0.444444	0.335878	2	13	11
ArthritisJuvenile	CeliacDisease	0.444444	0.3125	21	34	13
ArthritisJuvenile	ChemokineCCL2	0.444444	0.111111	1	2	1
ArthritisJuvenile	ColitisUlcerative	0.444444	0.298507	23	36	13
ArthritisJuvenile	CommonVariableImmunodeficiency	0.444444	0.382353	21	34	13
ArthritisJuvenile	CornealTopography	0.444444	0.632353	1	5	4
ArthritisJuvenile	CoronaryArteryDisease	0.444444	0.5	1	5	4
ArthritisJuvenile	CoronaryDisease	0.444444	0.338983	1	5	4
ArthritisJuvenile	CrohnDisease	0.444444	0.254826	21	34	13
ArthritisJuvenile	DiabetesMellitusType1	0.444444	0.264706	22	35	13
ArthritisJuvenile	Glaucoma	0.444444	0.647059	1	12	11
ArthritisJuvenile	GlaucomaAngle_Closure	0.444444	0.785714	1	12	11
ArthritisJuvenile	GlomerulonephritisIGA	0.444444	0.09375	2	3	1
ArthritisJuvenile	Hypersensitivity	0.444444	0.309524	2	6	4
ArthritisJuvenile	InflammatoryBowelDiseases	0.444444	0.301471	16	27	11
ArthritisJuvenile	LungVolumeMeasurements	0.444444	0.219178	1	5	4
ArthritisJuvenile	LupusErythematosusSystemic	0.444444	0.255605	22	35	13
ArthritisJuvenile	Menarche	0.444444	0.189394	2	14	12
ArthritisJuvenile	MyeloproliferativeDisorders	0.444444	0.714286	1	6	5
ArthritisJuvenile	MyocardialInfarction	0.444444	0.418182	1	5	4
ArthritisJuvenile	Psoriasis	0.444444	0.222222	22	35	13
ArthritisJuvenile	RhinitisAllergicSeasonal	0.444444	0.285714	1	5	4
ArthritisJuvenile	SpondylitisAnkylosing	0.444444	0.295455	21	34	13
ArthritisJuvenile	ThyroidDiseases	0.444444	0.333333	21	34	13
ArthritisJuvenile	ThyroidNeoplasms	0.444444	0.444444	1	5	4
ArthritisJuvenile	UveomeningoencephaliticSyndrome	0.444444	0.0625	1	2	1
ArthritisJuvenile	WaistCircumference	0.444444	0.571429	1	5	4
Asparaginase	Asparaginase	0.5	0.5	2	4	2
Asparaginase	Crown_RumpLength	0.5	0.5	1	3	2
Asparaginase	Hypersensitivity	0.5	0.309524	1	3	2
Asparaginase	PrecursorCellLymphoblasticLeukemia_Lymphoma	0.5	0.307692	1	3	2
Astigmatism	Astigmatism	0.5	0.5	1	2	1
Astigmatism	BodyHeight	0.5	0.339093	1	2	1
Astigmatism	CornealTopography	0.5	0.632353	1	2	1
Astigmatism	ErythrocyteCount	0.5	0.27907	1	2	1
Astigmatism	ErythrocyteIndices	0.5	0.252427	1	2	1
Astigmatism	Hematocrit	0.5	0.317073	1	2	1
Astigmatism	Hemoglobins	0.5	0.35	1	2	1
AttentionDeficitDisorderwithHyperactivity	AlzheimerDisease	0.272727	0.246154	1	2	1
AttentionDeficitDisorderwithHyperactivity	Amyotrophiclateralsclerosis1	0.272727	0.347826	2	8	6
AttentionDeficitDisorderwithHyperactivity	ArterialPressure	0.272727	0.176471	4	10	6
AttentionDeficitDisorderwithHyperactivity	ArthritisRheumatoid	0.272727	0.208633	3	9	6
AttentionDeficitDisorderwithHyperactivity	AtrialFibrillation	0.272727	0.229167	1	2	1
AttentionDeficitDisorderwithHyperactivity	AttentionDeficitDisorderwithHyperactivity	0.272727	0.272727	24	33	9
AttentionDeficitDisorderwithHyperactivity	Autoantibodies	0.272727	0.4	1	2	1
AttentionDeficitDisorderwithHyperactivity	BipolarDisorder	0.272727	0.313253	16	18	2
AttentionDeficitDisorderwithHyperactivity	BloodPressure	0.272727	0.289116	5	6	1
AttentionDeficitDisorderwithHyperactivity	BodyComposition	0.272727	0.333333	1	2	1
AttentionDeficitDisorderwithHyperactivity	BodyMassIndex	0.272727	0.365989	3	5	2
AttentionDeficitDisorderwithHyperactivity	BrainMapping	0.272727	0.75	1	7	6
AttentionDeficitDisorderwithHyperactivity	BreastNeoplasms	0.272727	0.298319	2	3	1
AttentionDeficitDisorderwithHyperactivity	ChildDevelopmentDisordersPervasive	0.272727	0.166667	13	15	2
AttentionDeficitDisorderwithHyperactivity	CholangitisSclerosing	0.272727	0.40625	3	10	7
AttentionDeficitDisorderwithHyperactivity	Cholesterol	0.272727	0.231527	1	2	1
AttentionDeficitDisorderwithHyperactivity	CholesterolHDL	0.272727	0.253472	1	2	1
AttentionDeficitDisorderwithHyperactivity	ClinicalLaboratoryTechniques	0.272727	0.2	1	2	1
AttentionDeficitDisorderwithHyperactivity	ColorectalNeoplasms	0.272727	0.296296	1	2	1
AttentionDeficitDisorderwithHyperactivity	CoronaryDisease	0.272727	0.338983	1	2	1
AttentionDeficitDisorderwithHyperactivity	DentalCaries	0.272727	0.411765	1	2	1
AttentionDeficitDisorderwithHyperactivity	DepressiveDisorder	0.272727	0.152778	14	16	2
AttentionDeficitDisorderwithHyperactivity	DiabetesMellitus	0.272727	0.244444	1	2	1
AttentionDeficitDisorderwithHyperactivity	DiabetesMellitusType2	0.272727	0.149425	1	2	1
AttentionDeficitDisorderwithHyperactivity	DrugResistance	0.272727	0.111111	1	2	1
AttentionDeficitDisorderwithHyperactivity	Electrocardiography	0.272727	0.3	2	3	1
AttentionDeficitDisorderwithHyperactivity	Face	0.272727	0.625	1	2	1
AttentionDeficitDisorderwithHyperactivity	Glucose	0.272727	0.244898	1	2	1
AttentionDeficitDisorderwithHyperactivity	GlucoseToleranceTest	0.272727	0.166667	1	2	1
AttentionDeficitDisorderwithHyperactivity	HIV_1	0.272727	0.0512821	1	2	1
AttentionDeficitDisorderwithHyperactivity	HeartFailure	0.272727	0.209302	1	2	1
AttentionDeficitDisorderwithHyperactivity	Hematocrit	0.272727	0.317073	2	3	1
AttentionDeficitDisorderwithHyperactivity	Hip	0.272727	0.439114	1	2	1
AttentionDeficitDisorderwithHyperactivity	Insulin	0.272727	0.0882353	1	2	1
AttentionDeficitDisorderwithHyperactivity	Leprosy	0.272727	0.0425532	2	3	1
AttentionDeficitDisorderwithHyperactivity	MigraineDisorders	0.272727	0.211538	1	2	1
AttentionDeficitDisorderwithHyperactivity	Mortality	0.272727	0.23913	1	2	1
AttentionDeficitDisorderwithHyperactivity	Myopia	0.272727	0.52381	1	2	1
AttentionDeficitDisorderwithHyperactivity	Neoplasms	0.272727	0.207547	1	2	1
AttentionDeficitDisorderwithHyperactivity	NeuroticDisorders	0.272727	0.5	1	2	1
AttentionDeficitDisorderwithHyperactivity	Neuroticism	0.272727	0.185185	2	3	1
AttentionDeficitDisorderwithHyperactivity	PeripheralNervousSystemDiseases	0.272727	0.166667	1	2	1
AttentionDeficitDisorderwithHyperactivity	PlateletCount	0.272727	0.150943	1	2	1
AttentionDeficitDisorderwithHyperactivity	ReverseTranscriptaseInhibitors	0.272727	0.103448	1	2	1
AttentionDeficitDisorderwithHyperactivity	Schizophrenia	0.272727	0.396783	15	18	3
AttentionDeficitDisorderwithHyperactivity	Stroke	0.272727	0.178571	2	3	1
AttentionDeficitDisorderwithHyperactivity	Survival	0.272727	0.238095	3	4	1
AttentionDeficitDisorderwithHyperactivity	Triglycerides	0.272727	0.279279	1	2	1
AttentionDeficitDisorderwithHyperactivity	TumorNecrosisFactors	0.272727	0.8	1	7	6
AttentionDeficitDisorderwithHyperactivity	WaistCircumference	0.272727	0.571429	1	2	1
AttentionDeficitDisorderwithHyperactivity	Waist_HipRatio	0.272727	0.166667	1	2	1
AttentionDeficitDisorderwithHyperactivity	hemoglobinA1cproteinhuman	0.272727	0.0526316	1	2	1
AudiometryPure_Tone	ApolipoproteinsE	0.318182	0.6	1	2	1
AudiometryPure_Tone	AudiometryPure_Tone	0.318182	0.318182	15	22	7
AudiometryPure_Tone	C_ReactiveProtein	0.318182	0.11194	2	4	2
AudiometryPure_Tone	CarotidArteryDiseases	0.318182	0.266667	1	2	1
AudiometryPure_Tone	CerebrospinalFluid	0.318182	0.351648	3	4	1
AudiometryPure_Tone	CholesterolHDL	0.318182	0.253472	3	4	1
AudiometryPure_Tone	ColitisUlcerative	0.318182	0.298507	1	3	2
AudiometryPure_Tone	Echocardiography	0.318182	0.349398	2	4	2
AudiometryPure_Tone	Fibrinogen	0.318182	0.204819	2	4	2
AudiometryPure_Tone	Glucose	0.318182	0.244898	2	4	2
AudiometryPure_Tone	HeartRate	0.318182	0.272727	1	2	1
AudiometryPure_Tone	Inflammation	0.318182	0.4	2	4	2
AudiometryPure_Tone	InflammatoryBowelDiseases	0.318182	0.301471	1	3	2
AudiometryPure_Tone	LiverCirrhosisBiliary	0.318182	0.216667	1	3	2
AudiometryPure_Tone	Obesity	0.318182	0.176471	3	4	1
AudiometryPure_Tone	PlateletFunctionTests	0.318182	0.321212	2	3	1
AudiometryPure_Tone	ReceptorsLeptin	0.318182	0.5	1	2	1
AudiometryPure_Tone	Triglycerides	0.318182	0.279279	2	4	2
AudiometryPure_Tone	Voice	0.318182	0.25	2	4	2
Autoantibodies	AgeofOnset	0.4	0.297297	2	3	1
Autoantibodies	AlopeciaAreata	0.4	0.142857	3	4	1
Autoantibodies	AlzheimerDisease	0.4	0.246154	2	3	1
Autoantibodies	ArthritisRheumatoid	0.4	0.208633	8	15	7
Autoantibodies	AtrialFibrillation	0.4	0.229167	1	2	1
Autoantibodies	AttentionDeficitDisorderwithHyperactivity	0.4	0.272727	1	2	1
Autoantibodies	Autoantibodies	0.4	0.4	20	35	15
Autoantibodies	AutoimmuneDiseases	0.4	0.346939	4	5	1
Autoantibodies	BipolarDisorder	0.4	0.313253	1	2	1
Autoantibodies	BloodPressure	0.4	0.289116	3	5	2
Autoantibodies	BodyMassIndex	0.4	0.365989	3	4	1
Autoantibodies	BreastNeoplasms	0.4	0.298319	1	2	1
Autoantibodies	C_ReactiveProtein	0.4	0.11194	1	2	1
Autoantibodies	CarcinomaSquamousCell	0.4	0.258065	1	2	1
Autoantibodies	CeliacDisease	0.4	0.3125	4	5	1
Autoantibodies	ChildDevelopmentDisordersPervasive	0.4	0.166667	1	2	1
Autoantibodies	CholangitisSclerosing	0.4	0.40625	5	6	1
Autoantibodies	Cholesterol	0.4	0.231527	2	4	2
Autoantibodies	CholesterolHDL	0.4	0.253472	1	2	1
Autoantibodies	Cisplatin	0.4	0.5	1	2	1
Autoantibodies	ClinicalLaboratoryTechniques	0.4	0.2	1	2	1
Autoantibodies	Cognition	0.4	0.375	1	2	1
Autoantibodies	ColitisUlcerative	0.4	0.298507	6	12	6
Autoantibodies	ColorectalNeoplasms	0.4	0.296296	2	3	1
Autoantibodies	CoronaryDisease	0.4	0.338983	1	2	1
Autoantibodies	CrohnDisease	0.4	0.254826	10	16	6
Autoantibodies	DeafnessAminoglycoside_Induced	0.4	0.5	1	2	1
Autoantibodies	DepressiveDisorder	0.4	0.152778	1	2	1
Autoantibodies	DermatitisAtopic	0.4	0.110092	3	4	1
Autoantibodies	DiabetesMellitus	0.4	0.244444	1	2	1
Autoantibodies	DiabetesMellitusType1	0.4	0.264706	16	29	13
Autoantibodies	DiabetesMellitusType2	0.4	0.149425	5	8	3
Autoantibodies	Electrocardiography	0.4	0.3	1	2	1
Autoantibodies	EsophagealNeoplasms	0.4	0.230769	1	2	1
Autoantibodies	Glucose	0.4	0.244898	3	4	1
Autoantibodies	GlucoseToleranceTest	0.4	0.166667	1	2	1
Autoantibodies	GravesDisease	0.4	0.133333	1	2	1
Autoantibodies	HeartFailure	0.4	0.209302	1	2	1
Autoantibodies	Hematocrit	0.4	0.317073	1	2	1
Autoantibodies	Hip	0.4	0.439114	1	2	1
Autoantibodies	Hypothyroidism	0.4	0.192308	4	6	2
Autoantibodies	InflammatoryBowelDiseases	0.4	0.301471	11	18	7
Autoantibodies	Insulin	0.4	0.0882353	2	3	1
Autoantibodies	Insulin_LikeGrowthFactorBindingProtein3	0.4	0.444444	1	2	1
Autoantibodies	LiverCirrhosisBiliary	0.4	0.216667	1	5	4
Autoantibodies	LupusErythematosusSystemic	0.4	0.255605	6	11	5
Autoantibodies	Mortality	0.4	0.23913	1	2	1
Autoantibodies	MyastheniaGravis	0.4	0.2	1	2	1
Autoantibodies	Myopia	0.4	0.52381	1	2	1
Autoantibodies	Neoplasms	0.4	0.207547	1	2	1
Autoantibodies	Neuroticism	0.4	0.185185	1	2	1
Autoantibodies	PolycysticOvarySyndrome	0.4	0.366667	1	2	1
Autoantibodies	Proteins	0.4	0.122449	1	2	1
Autoantibodies	Psoriasis	0.4	0.222222	8	15	7
Autoantibodies	Schizophrenia	0.4	0.396783	2	3	1
Autoantibodies	Stroke	0.4	0.178571	1	2	1
Autoantibodies	Survival	0.4	0.238095	1	2	1
Autoantibodies	Triglycerides	0.4	0.279279	1	2	1
Autoantibodies	Vitiligo	0.4	0.0862069	3	4	1
Autoantibodies	WaistCircumference	0.4	0.571429	1	2	1
Autoantibodies	blood	0.4	0.166667	1	2	1
Autoantibodies	hemoglobinA1cproteinhuman	0.4	0.0526316	3	4	1
AutoimmuneDiseases	ArthritisJuvenile	0.346939	0.444444	21	34	13
AutoimmuneDiseases	ArthritisRheumatoid	0.346939	0.208633	8	11	3
AutoimmuneDiseases	Asthma	0.346939	0.229885	2	7	5
AutoimmuneDiseases	Autoantibodies	0.346939	0.4	4	5	1
AutoimmuneDiseases	AutoimmuneDiseases	0.346939	0.346939	32	49	17
AutoimmuneDiseases	BehcetSyndrome	0.346939	0.0909091	2	5	3
AutoimmuneDiseases	BodyMassIndex	0.346939	0.365989	1	5	4
AutoimmuneDiseases	C_ReactiveProtein	0.346939	0.11194	1	2	1
AutoimmuneDiseases	CarcinomaHepatocellular	0.346939	0.0740741	1	3	2
AutoimmuneDiseases	CarcinomaSquamousCell	0.346939	0.258065	1	2	1
AutoimmuneDiseases	CeliacDisease	0.346939	0.3125	24	39	15
AutoimmuneDiseases	ChemokineCCL2	0.346939	0.111111	1	2	1
AutoimmuneDiseases	ColitisUlcerative	0.346939	0.298507	23	39	16
AutoimmuneDiseases	CommonVariableImmunodeficiency	0.346939	0.382353	21	34	13
AutoimmuneDiseases	CornealTopography	0.346939	0.632353	1	5	4
AutoimmuneDiseases	CoronaryArteryDisease	0.346939	0.5	1	5	4
AutoimmuneDiseases	CoronaryDisease	0.346939	0.338983	1	5	4
AutoimmuneDiseases	CrohnDisease	0.346939	0.254826	25	41	16
AutoimmuneDiseases	DermatitisAtopic	0.346939	0.110092	3	4	1
AutoimmuneDiseases	DiabetesMellitusType1	0.346939	0.264706	23	37	14
AutoimmuneDiseases	EsophagealNeoplasms	0.346939	0.230769	1	2	1
AutoimmuneDiseases	GlomerulonephritisIGA	0.346939	0.09375	1	2	1
AutoimmuneDiseases	Hypersensitivity	0.346939	0.309524	3	7	4
AutoimmuneDiseases	InflammatoryBowelDiseases	0.346939	0.301471	18	32	14
AutoimmuneDiseases	LungVolumeMeasurements	0.346939	0.219178	1	5	4
AutoimmuneDiseases	LupusErythematosusSystemic	0.346939	0.255605	28	43	15
AutoimmuneDiseases	Menarche	0.346939	0.189394	1	2	1
AutoimmuneDiseases	MyeloproliferativeDisorders	0.346939	0.714286	1	6	5
