Trait1	Trait2	RatioModified1	RatioModified2	OverlapProteins	OverlapProteoforms	Type
ADAMTS13proteinhuman	Eyebrows	0.333333	0.171429	1	0	sep
ADAMTS13proteinhuman	Face	0.333333	0.625	1	0	sep
ADAMTS13proteinhuman	Nose	0.333333	0.521739	1	0	sep
ADAMTS13proteinhuman	Ossificationoftheposteriorlongitudinalligamentofthespine	0.333333	0	1	0	sep
ADAMTS13proteinhuman	PlateletFunctionTests	0.333333	0.321212	1	0	sep
ADAMTS13proteinhuman	Stroke	0.333333	0.178571	1	0	sep
Adenocarcinomaoflung	Acute_On_ChronicLiverFailure	0.323529	0	1	0	sep
Adenocarcinomaoflung	Agranulocytosis	0.323529	0.0169492	1	0	sep
Adenocarcinomaoflung	AirwayObstruction	0.323529	0	1	0	sep
Adenocarcinomaoflung	Antigens	0.323529	0	1	0	sep
Adenocarcinomaoflung	ArterialPressure	0.323529	0.176471	1	0	sep
Adenocarcinomaoflung	ArthritisRheumatoid	0.323529	0.208633	3	0	sep
Adenocarcinomaoflung	AxialLengthEye	0.323529	0	1	0	sep
Adenocarcinomaoflung	Biomarkers	0.323529	0.130435	1	0	sep
Adenocarcinomaoflung	BloodPressure	0.323529	0.289116	1	0	sep
Adenocarcinomaoflung	BloodUreaNitrogen	0.323529	0.111111	1	0	sep
Adenocarcinomaoflung	BodyHeight	0.323529	0.339093	1	0	sep
Adenocarcinomaoflung	BodyMassIndex	0.323529	0.365989	1	0	sep
Adenocarcinomaoflung	BoneDensity	0.323529	0.231405	1	0	sep
Adenocarcinomaoflung	BronchitisChronic	0.323529	0.25	1	0	sep
Adenocarcinomaoflung	CarbonMonoxide	0.323529	0	1	0	sep
Adenocarcinomaoflung	CleftLip	0.323529	0.40625	1	0	sep
Adenocarcinomaoflung	CleftPalate	0.323529	0.419355	1	0	sep
Adenocarcinomaoflung	ComplementC4	0.323529	0.307692	1	0	sep
Adenocarcinomaoflung	CrohnDisease	0.323529	0.254826	1	0	sep
Adenocarcinomaoflung	Cytokines	0.323529	0.571429	1	0	sep
Adenocarcinomaoflung	DiabetesMellitusType1	0.323529	0.264706	2	0	sep
Adenocarcinomaoflung	DiabetesMellitusType2	0.323529	0.149425	1	0	sep
Adenocarcinomaoflung	Electrocardiography	0.323529	0.3	2	0	sep
Adenocarcinomaoflung	Emphysema	0.323529	0.166667	1	0	sep
Adenocarcinomaoflung	EndometrialNeoplasms	0.323529	0.416667	1	0	sep
Adenocarcinomaoflung	EnergyMetabolism	0.323529	0	1	0	sep
Adenocarcinomaoflung	Epstein_BarrVirusNuclearAntigens	0.323529	0	1	0	sep
Adenocarcinomaoflung	ErythrocyteCount	0.323529	0.27907	1	0	sep
Adenocarcinomaoflung	ErythrocyteIndices	0.323529	0.252427	1	0	sep
Adenocarcinomaoflung	ForcedExpiratoryVolume	0.323529	0.181818	2	0	sep
Adenocarcinomaoflung	Glioblastoma	0.323529	0.866667	1	0	sep
Adenocarcinomaoflung	Glioma	0.323529	0.807018	1	0	sep
Adenocarcinomaoflung	GlomerulonephritisMembranous	0.323529	0.0208333	1	0	sep
Adenocarcinomaoflung	GravesDisease	0.323529	0.133333	1	0	sep
Adenocarcinomaoflung	HepatitisBChronic	0.323529	0.151515	1	0	sep
Adenocarcinomaoflung	HepatitisC	0.323529	0	1	0	sep
Adenocarcinomaoflung	HodgkinDisease	0.323529	0.108108	1	0	sep
Adenocarcinomaoflung	IdiopathicPulmonaryFibrosis	0.323529	0.333333	1	0	sep
Adenocarcinomaoflung	ImmunoglobulinG	0.323529	0	1	0	sep
Adenocarcinomaoflung	Leprosy	0.323529	0.0425532	1	0	sep
Adenocarcinomaoflung	LeukemiaLymphocyticChronicB_Cell	0.323529	0.191176	1	0	sep
Adenocarcinomaoflung	LiverCirrhosisBiliary	0.323529	0.216667	2	0	sep
Adenocarcinomaoflung	LungDiseasesInterstitial	0.323529	0.210526	1	0	sep
Adenocarcinomaoflung	LupusErythematosusSystemic	0.323529	0.255605	3	0	sep
Adenocarcinomaoflung	LymphomaB_CellMarginalZone	0.323529	0	1	0	sep
Adenocarcinomaoflung	MacularDegeneration	0.323529	0.454545	1	0	sep
Adenocarcinomaoflung	Melanoma	0.323529	0.285714	1	0	sep
Adenocarcinomaoflung	MouthAbnormalities	0.323529	0.3125	1	0	sep
Adenocarcinomaoflung	MultipleSclerosis	0.323529	0.114286	1	0	sep
Adenocarcinomaoflung	MyeloproliferativeDisorders	0.323529	0.714286	1	0	sep
Adenocarcinomaoflung	NasopharyngealNeoplasms	0.323529	0.038961	1	0	sep
Adenocarcinomaoflung	Nose	0.323529	0.521739	1	0	sep
Adenocarcinomaoflung	Odontogenesis	0.323529	0.166667	1	0	sep
Adenocarcinomaoflung	OsteoarthritisKnee	0.323529	0	1	0	sep
Adenocarcinomaoflung	Osteoporosis	0.323529	0.0666667	1	0	sep
Adenocarcinomaoflung	PancreaticCarcinoma	0.323529	0.2	2	0	sep
Adenocarcinomaoflung	ParkinsonDisease	0.323529	0.276596	1	0	sep
Adenocarcinomaoflung	PlateletCount	0.323529	0.150943	1	0	sep
Adenocarcinomaoflung	PrecursorCellLymphoblasticLeukemia_Lymphoma	0.323529	0.307692	1	0	sep
Adenocarcinomaoflung	Psoriasis	0.323529	0.222222	2	0	sep
Adenocarcinomaoflung	PulmonaryDiseaseChronicObstructive	0.323529	0.0909091	1	0	sep
Adenocarcinomaoflung	PulmonaryEmphysema	0.323529	0	1	0	sep
Adenocarcinomaoflung	RespiratoryFunctionTests	0.323529	0.179487	2	0	sep
Adenocarcinomaoflung	Sarcoidosis	0.323529	0	1	0	sep
Adenocarcinomaoflung	Schizophrenia	0.323529	0.396783	1	0	sep
Adenocarcinomaoflung	Smoking	0.323529	0.258824	2	0	sep
Adenocarcinomaoflung	Staphylococcusaureus	0.323529	0	1	0	sep
Adenocarcinomaoflung	StomachNeoplasms	0.323529	0.3	1	0	sep
Adenocarcinomaoflung	Survival	0.323529	0.238095	1	0	sep
Adenocarcinomaoflung	SurvivalRate	0.323529	0	1	0	sep
Adenocarcinomaoflung	TesticularGermCellTumor	0.323529	0.3	1	0	sep
Adenocarcinomaoflung	TesticularNeoplasms	0.323529	0	1	0	sep
Adenocarcinomaoflung	Thioamides	0.323529	0	1	0	sep
Adenocarcinomaoflung	ThyroidDiseases	0.323529	0.333333	1	0	sep
Adenocarcinomaoflung	ThyroidNeoplasms	0.323529	0.444444	1	0	sep
Adenocarcinomaoflung	TobaccoUseDisorder	0.323529	0	1	0	sep
Adenocarcinomaoflung	TripleNegativeBreastNeoplasms	0.323529	0	1	0	sep
Adenocarcinomaoflung	VaccinePotency	0.323529	0.49375	2	0	sep
Adenocarcinomaoflung	Vitiligo	0.323529	0.0862069	1	0	sep
Adenocarcinomaoflung	Waist_HipRatio	0.323529	0.166667	1	0	sep
Adenocarcinomaoflung	WetMacularDegeneration	0.323529	0.453125	1	0	sep
Adenocarcinomaoflung	cycliccitrullinatedpeptide	0.323529	0	1	0	sep
AgeofOnset	3_hydroxy_1_methylpropylmercapturicacid	0.297297	0.166667	2	0	sep
AgeofOnset	AcneVulgaris	0.297297	0	1	0	sep
AgeofOnset	Adiponectin	0.297297	0.111111	1	0	sep
AgeofOnset	Albuminuria	0.297297	0.0666667	1	0	sep
AgeofOnset	AlcoholDrinking	0.297297	0.189189	1	0	sep
AgeofOnset	Alcoholism	0.297297	0.05	3	0	sep
AgeofOnset	Alopecia	0.297297	0.210526	2	0	sep
AgeofOnset	Amyloidbeta_Peptides	0.297297	0.2	1	0	sep
AgeofOnset	AmyotrophicLateralSclerosis	0.297297	0.111111	2	0	sep
AgeofOnset	Anti_BacterialAgents	0.297297	0	1	0	sep
AgeofOnset	AntidepressiveAgents	0.297297	0.392857	3	0	sep
AgeofOnset	AntineoplasticAgents	0.297297	0.105263	1	0	sep
AgeofOnset	Aorta	0.297297	0.619048	2	0	sep
AgeofOnset	ApolipoproteinsB	0.297297	0.166667	1	0	sep
AgeofOnset	ArterialPressure	0.297297	0.176471	1	0	sep
AgeofOnset	Atherosclerosis	0.297297	0	1	0	sep
AgeofOnset	AtrialFibrillation	0.297297	0.229167	2	0	sep
AgeofOnset	AtrialNatriureticFactor	0.297297	0	1	0	sep
AgeofOnset	Autosomaldominantcompellinghelioophthalmicoutburstsyndrome	0.297297	0.272727	2	0	sep
AgeofOnset	Binge_EatingDisorder	0.297297	0	2	0	sep
AgeofOnset	Biomarkers	0.297297	0.130435	2	0	sep
AgeofOnset	BipolarDisorder	0.297297	0.313253	2	0	sep
AgeofOnset	BirthWeight	0.297297	0	1	0	sep
AgeofOnset	Bleomycin	0.297297	0	1	0	sep
AgeofOnset	BloodGlucose	0.297297	0.2	2	0	sep
AgeofOnset	BloodProteins	0.297297	0.153846	1	0	sep
AgeofOnset	BodyWeightChanges	0.297297	0	1	0	sep
AgeofOnset	BoneDensity	0.297297	0.231405	2	0	sep
AgeofOnset	Breast	0.297297	0.357143	1	0	sep
AgeofOnset	Bupropion	0.297297	0.25	1	0	sep
AgeofOnset	CD40Ligand	0.297297	0	1	0	sep
AgeofOnset	Cadmium	0.297297	0	1	0	sep
AgeofOnset	Cannabis	0.297297	0	1	0	sep
AgeofOnset	CardiovascularDiseases	0.297297	0.410256	1	0	sep
AgeofOnset	CarotidArteryDiseases	0.297297	0.266667	1	0	sep
AgeofOnset	Cartilage	0.297297	0.695652	1	0	sep
AgeofOnset	CerebralCortex	0.297297	0.375	1	0	sep
AgeofOnset	ChemicalandDrugInducedLiverInjury	0.297297	0.1875	1	0	sep
AgeofOnset	Chin	0.297297	0.0833333	2	0	sep
AgeofOnset	Citalopram	0.297297	0	2	0	sep
AgeofOnset	CoronaryArteryDisease	0.297297	0.5	1	0	sep
AgeofOnset	CoronaryDisease	0.297297	0.338983	5	0	sep
AgeofOnset	Creatinine	0.297297	0.324675	1	0	sep
AgeofOnset	Creutzfeldt_JakobSyndrome	0.297297	0.333333	1	0	sep
AgeofOnset	DNADamage	0.297297	0	1	0	sep
AgeofOnset	DepressiveDisorder	0.297297	0.152778	4	0	sep
AgeofOnset	DiabetesGestational	0.297297	0	1	0	sep
AgeofOnset	DiabetesMellitus	0.297297	0.244444	2	0	sep
AgeofOnset	DrugResistance	0.297297	0.111111	1	0	sep
AgeofOnset	Education	0.297297	0.317881	2	0	sep
AgeofOnset	Electrocardiography	0.297297	0.3	4	0	sep
AgeofOnset	Emphysema	0.297297	0.166667	1	0	sep
AgeofOnset	EntorhinalCortex	0.297297	0	1	0	sep
AgeofOnset	Epilepsy	0.297297	0.105263	1	0	sep
AgeofOnset	ExerciseTest	0.297297	0.153846	1	0	sep
AgeofOnset	Eye	0.297297	0	1	0	sep
AgeofOnset	Face	0.297297	0.625	1	0	sep
AgeofOnset	Fenofibrate	0.297297	0.0625	1	0	sep
AgeofOnset	Gait	0.297297	0	1	0	sep
AgeofOnset	GastrointestinalMicrobiome	0.297297	0.240506	3	0	sep
AgeofOnset	Glucose	0.297297	0.244898	3	0	sep
AgeofOnset	HIV_1	0.297297	0.0512821	1	0	sep
AgeofOnset	Health	0.297297	0.333333	1	0	sep
AgeofOnset	HeartFailure	0.297297	0.209302	2	0	sep
AgeofOnset	HeartRate	0.297297	0.272727	1	0	sep
AgeofOnset	Hematocrit	0.297297	0.317073	2	0	sep
AgeofOnset	HepatitisAutoimmune	0.297297	0	1	0	sep
AgeofOnset	HydroxymethylglutarylCoAReductases	0.297297	0.166667	1	0	sep
AgeofOnset	Hypertension	0.297297	0.0857143	1	0	sep
AgeofOnset	InfluenzaAVirusH1N1Subtype	0.297297	0.209302	2	0	sep
AgeofOnset	Lipids	0.297297	0.303571	1	0	sep
AgeofOnset	Lipoproteins	0.297297	0.727273	1	0	sep
AgeofOnset	Longevity	0.297297	0.26087	1	0	sep
AgeofOnset	LupusErythematosusCutaneous	0.297297	0.2	1	0	sep
AgeofOnset	LupusNephritis	0.297297	0	1	0	sep
AgeofOnset	MacularDegeneration	0.297297	0.454545	1	0	sep
AgeofOnset	Malaria	0.297297	0.142857	1	0	sep
AgeofOnset	MeanPlateletVolume	0.297297	0.236842	2	0	sep
AgeofOnset	Melanoma	0.297297	0.285714	1	0	sep
AgeofOnset	Memory	0.297297	0	1	0	sep
AgeofOnset	Menarche	0.297297	0.189394	3	0	sep
AgeofOnset	Menopause	0.297297	0.0909091	1	0	sep
AgeofOnset	Metabolism	0.297297	0.375839	1	0	sep
AgeofOnset	Microbiota	0.297297	0.333333	1	0	sep
AgeofOnset	MoodDisorders	0.297297	0.166667	1	0	sep
AgeofOnset	Mortality	0.297297	0.23913	2	0	sep
AgeofOnset	MotionSickness	0.297297	0	1	0	sep
AgeofOnset	MouthNeoplasms	0.297297	0	1	0	sep
AgeofOnset	MyocardialInfarction	0.297297	0.418182	1	0	sep
AgeofOnset	NatriureticPeptideBrain	0.297297	0.125	2	0	sep
AgeofOnset	Neoplasms	0.297297	0.207547	2	0	sep
AgeofOnset	Neuroimaging	0.297297	0.4	1	0	sep
AgeofOnset	NeuropsychologicalTests	0.297297	0	1	0	sep
AgeofOnset	NitricOxide	0.297297	0.142857	1	0	sep
AgeofOnset	Nose	0.297297	0.521739	2	0	sep
AgeofOnset	Obesity	0.297297	0.176471	3	0	sep
AgeofOnset	OropharyngealNeoplasms	0.297297	0	1	0	sep
AgeofOnset	Ossificationoftheposteriorlongitudinalligamentofthespine	0.297297	0	1	0	sep
AgeofOnset	Paclitaxel	0.297297	0	1	0	sep
AgeofOnset	PapillomavirusVaccines	0.297297	0	1	0	sep
AgeofOnset	PartialThromboplastinTime	0.297297	0.307692	1	0	sep
AgeofOnset	PeripheralNervousSystemDiseases	0.297297	0.166667	1	0	sep
AgeofOnset	Peroxidase	0.297297	0	1	0	sep
AgeofOnset	PharyngealNeoplasms	0.297297	0	1	0	sep
AgeofOnset	Prostate_SpecificAntigen	0.297297	0.230769	2	0	sep
AgeofOnset	PsychomotorPerformance	0.297297	0	1	0	sep
AgeofOnset	PulmonaryEmphysema	0.297297	0	1	0	sep
AgeofOnset	Reading	0.297297	0.2	1	0	sep
AgeofOnset	ReceptorsTumorNecrosisFactorTypeII	0.297297	0.857143	1	0	sep
AgeofOnset	ReverseTranscriptaseInhibitors	0.297297	0.103448	1	0	sep
AgeofOnset	SeizuresFebrile	0.297297	0	1	0	sep
AgeofOnset	SerotoninUptakeInhibitors	0.297297	0.0909091	2	0	sep
AgeofOnset	Stroke	0.297297	0.178571	4	0	sep
AgeofOnset	SulfonylureaCompounds	0.297297	0.2	1	0	sep
AgeofOnset	TemporalLobe	0.297297	0	1	0	sep
AgeofOnset	ThyroidGland	0.297297	0	2	0	sep
AgeofOnset	ThyroidHormones	0.297297	0.0232558	2	0	sep
AgeofOnset	Thyrotropin	0.297297	0.125	2	0	sep
AgeofOnset	TransFattyAcids	0.297297	0	1	0	sep
AgeofOnset	UricAcid	0.297297	0.325581	3	0	sep
AgeofOnset	VaricoseVeins	0.297297	0.235294	1	0	sep
AgeofOnset	VascularCalcification	0.297297	0.232558	1	0	sep
AgeofOnset	VisionDisorders	0.297297	0	1	0	sep
AgeofOnset	gamma_Glutamyltransferase	0.297297	0.153846	2	0	sep
AgeofOnset	hemoglobinA1cproteinhuman	0.297297	0.0526316	1	0	sep
AgeofOnset	thyroidmicrosomalantibodies	0.297297	0.142857	2	0	sep
Amyotrophiclateralsclerosis1	AlanineTransaminase	0.347826	0.1	1	0	sep
Amyotrophiclateralsclerosis1	AlzheimerDisease	0.347826	0.246154	1	0	sep
Amyotrophiclateralsclerosis1	Angiography	0.347826	0.285714	1	0	sep
Amyotrophiclateralsclerosis1	Binge_EatingDisorder	0.347826	0	1	0	sep
Amyotrophiclateralsclerosis1	BipolarDisorder	0.347826	0.313253	2	0	sep
Amyotrophiclateralsclerosis1	BloodPressure	0.347826	0.289116	2	0	sep
Amyotrophiclateralsclerosis1	BodyMassIndex	0.347826	0.365989	2	0	sep
Amyotrophiclateralsclerosis1	BoneDensity	0.347826	0.231405	1	0	sep
Amyotrophiclateralsclerosis1	CardiovascularDiseases	0.347826	0.410256	1	0	sep
Amyotrophiclateralsclerosis1	CellSurvival	0.347826	0.142857	1	0	sep
Amyotrophiclateralsclerosis1	CerebrospinalFluid	0.347826	0.351648	1	0	sep
Amyotrophiclateralsclerosis1	ChildDevelopmentDisordersPervasive	0.347826	0.166667	1	0	sep
Amyotrophiclateralsclerosis1	DepressiveDisorder	0.347826	0.152778	2	0	sep
Amyotrophiclateralsclerosis1	DietSodium_Restricted	0.347826	0	1	0	sep
Amyotrophiclateralsclerosis1	Electrocardiography	0.347826	0.3	1	0	sep
Amyotrophiclateralsclerosis1	ExerciseTest	0.347826	0.153846	1	0	sep
Amyotrophiclateralsclerosis1	FemurHeadNecrosis	0.347826	0	1	0	sep
Amyotrophiclateralsclerosis1	Gout	0.347826	0.397059	1	0	sep
Amyotrophiclateralsclerosis1	Hip	0.347826	0.439114	1	0	sep
Amyotrophiclateralsclerosis1	Interleukin_6	0.347826	0.25	1	0	sep
Amyotrophiclateralsclerosis1	LiverCirrhosisBiliary	0.347826	0.216667	1	0	sep
Amyotrophiclateralsclerosis1	Menopause	0.347826	0.0909091	1	0	sep
Amyotrophiclateralsclerosis1	NasopharyngealNeoplasms	0.347826	0.038961	1	0	sep
Amyotrophiclateralsclerosis1	Paclitaxel	0.347826	0	1	0	sep
Amyotrophiclateralsclerosis1	Phospholipids	0.347826	0.047619	1	0	sep
Amyotrophiclateralsclerosis1	PlateletAggregation	0.347826	0.5	1	0	sep
Amyotrophiclateralsclerosis1	PolychlorinatedBiphenyls	0.347826	0.357143	1	0	sep
Amyotrophiclateralsclerosis1	RespiratoryFunctionTests	0.347826	0.179487	1	0	sep
Amyotrophiclateralsclerosis1	Schizophrenia	0.347826	0.396783	2	0	sep
Amyotrophiclateralsclerosis1	Sleep	0.347826	0.125	1	0	sep
Amyotrophiclateralsclerosis1	SleepInitiationandMaintenanceDisorders	0.347826	0	1	0	sep
Amyotrophiclateralsclerosis1	Smoking	0.347826	0.258824	1	0	sep
Amyotrophiclateralsclerosis1	TumorNecrosisFactor_alpha	0.347826	0	1	0	sep
Amyotrophiclateralsclerosis1	Waist_HipRatio	0.347826	0.166667	1	0	sep
Amyotrophiclateralsclerosis1	tauProteins	0.347826	0.642857	1	0	sep
Anemia	ArterialPressure	0.25	0.176471	1	0	sep
Anemia	BloodPressure	0.25	0.289116	1	0	sep
Anemia	Cholesterol	0.25	0.231527	1	0	sep
Anemia	CholesterolLDL	0.25	0.366102	1	0	sep
Anemia	ErythrocyteCount	0.25	0.27907	1	0	sep
Anemia	ErythrocyteIndices	0.25	0.252427	1	0	sep
Anemia	Ferritins	0.25	0	1	0	sep
Anemia	Hematocrit	0.25	0.317073	1	0	sep
Anemia	Hemoglobins	0.25	0.35	1	0	sep
Anemia	HepatitisCChronic	0.25	0.208333	1	0	sep
Anemia	Hypertension	0.25	0.0857143	1	0	sep
Anemia	Ribavirin	0.25	0	1	0	sep
Anemia	Schizophrenia	0.25	0.396783	1	0	sep
Anemia	hemoglobinA1cproteinhuman	0.25	0.0526316	1	0	sep
Angiography	AminoAcids	0.285714	0.147059	1	0	sep
Angiography	BloodPressure	0.285714	0.289116	2	0	sep
Angiography	BodyMassIndex	0.285714	0.365989	1	0	sep
Angiography	CardiovascularDiseases	0.285714	0.410256	1	0	sep
Angiography	CholesterolHDL	0.285714	0.253472	1	0	sep
Angiography	CholesterolLDL	0.285714	0.366102	1	0	sep
Angiography	Echocardiography	0.285714	0.349398	2	0	sep
Angiography	ExerciseTest	0.285714	0.153846	2	0	sep
Angiography	Fibrinogen	0.285714	0.204819	1	0	sep
Angiography	GlomerularFiltrationRate	0.285714	0.288889	1	0	sep
Angiography	Homocysteine	0.285714	0.166667	1	0	sep
Angiography	InsulinResistance	0.285714	0.135135	1	0	sep
Angiography	MacularDegeneration	0.285714	0.454545	1	0	sep
Angiography	Menopause	0.285714	0.0909091	1	0	sep
Angiography	Metabolism	0.285714	0.375839	1	0	sep
Angiography	Proteins	0.285714	0.122449	1	0	sep
Angiography	RespiratoryFunctionTests	0.285714	0.179487	1	0	sep
Angiography	Schizophrenia	0.285714	0.396783	1	0	sep
Angiography	Selenium	0.285714	0.25	1	0	sep
Angiography	Smoking	0.285714	0.258824	1	0	sep
Angiography	Urine	0.285714	0.125	1	0	sep
Angiography	Waist_HipRatio	0.285714	0.166667	1	0	sep
Angiopoietin_2	AntipsychoticAgents	0.333333	0.111111	1	0	sep
Angiopoietin_2	DepressiveDisorder	0.333333	0.152778	1	0	sep
Angiopoietin_2	Gout	0.333333	0.397059	1	0	sep
Angiopoietin_2	NeurodegenerativeDiseases	0.333333	0	1	0	sep
Angiopoietin_2	PsychotropicDrugs	0.333333	0.25	1	0	sep
AntidepressiveAgents	Alopecia	0.392857	0.210526	1	0	sep
AntidepressiveAgents	AlzheimerDisease	0.392857	0.246154	4	0	sep
AntidepressiveAgents	AorticAneurysmAbdominal	0.392857	0.111111	1	0	sep
AntidepressiveAgents	Basophils	0.392857	0	1	0	sep
AntidepressiveAgents	Binge_EatingDisorder	0.392857	0	2	0	sep
AntidepressiveAgents	Biomarkers	0.392857	0.130435	2	0	sep
AntidepressiveAgents	BipolarDisorder	0.392857	0.313253	3	0	sep
AntidepressiveAgents	BloodPressure	0.392857	0.289116	1	0	sep
AntidepressiveAgents	BodyHeight	0.392857	0.339093	1	0	sep
AntidepressiveAgents	BodyMassIndex	0.392857	0.365989	1	0	sep
AntidepressiveAgents	Breast	0.392857	0.357143	1	0	sep
AntidepressiveAgents	BreastNeoplasms	0.392857	0.298319	2	0	sep
AntidepressiveAgents	Bupropion	0.392857	0.25	3	0	sep
AntidepressiveAgents	C_ReactiveProtein	0.392857	0.11194	1	0	sep
AntidepressiveAgents	CataractAge_RelatedNuclear	0.392857	0	1	0	sep
AntidepressiveAgents	ChildDevelopmentDisordersPervasive	0.392857	0.166667	1	0	sep
AntidepressiveAgents	CholesterolHDL	0.392857	0.253472	3	0	sep
AntidepressiveAgents	CholesterolLDL	0.392857	0.366102	2	0	sep
AntidepressiveAgents	Citalopram	0.392857	0	1	0	sep
AntidepressiveAgents	ColitisUlcerative	0.392857	0.298507	1	0	sep
AntidepressiveAgents	CrohnDisease	0.392857	0.254826	2	0	sep
AntidepressiveAgents	DeathSuddenCardiac	0.392857	0.142857	1	0	sep
AntidepressiveAgents	DepressiveDisorder	0.392857	0.152778	7	0	sep
AntidepressiveAgents	DiabetesMellitusType2	0.392857	0.149425	1	0	sep
AntidepressiveAgents	Electrocardiography	0.392857	0.3	1	0	sep
AntidepressiveAgents	Endometriosis	0.392857	0.333333	1	0	sep
AntidepressiveAgents	Fenofibrate	0.392857	0.0625	2	0	sep
AntidepressiveAgents	Glaucoma	0.392857	0.647059	1	0	sep
AntidepressiveAgents	InflammatoryBowelDiseases	0.392857	0.301471	2	0	sep
AntidepressiveAgents	InsulinResistance	0.392857	0.135135	1	0	sep
AntidepressiveAgents	Lip	0.392857	0	1	0	sep
AntidepressiveAgents	Menopause	0.392857	0.0909091	1	0	sep
AntidepressiveAgents	MigraineDisorders	0.392857	0.211538	1	0	sep
AntidepressiveAgents	MoodDisorders	0.392857	0.166667	3	0	sep
AntidepressiveAgents	MultipleSclerosis	0.392857	0.114286	1	0	sep
AntidepressiveAgents	NatriureticPeptideBrain	0.392857	0.125	2	0	sep
AntidepressiveAgents	Obesity	0.392857	0.176471	2	0	sep
AntidepressiveAgents	PancreaticCarcinoma	0.392857	0.2	1	0	sep
