Pathway StId	Pathway Name	# Entities Found	# Entities Total	Entities Ratio	Entities P-Value	Significant	Entities FDR	# Reactions Found	# Reactions Total	Reactions Ratio	Entities Found	Reactions Found
R-HSA-5625886	"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	34	34	1.0	0.5229224650336769	No	0.0	10	46	0.21739130434782608	O60341,O60814,P04908,P06899,P0C0S5,P0C5Y9,P10275,P16104,P20671,P23527,P33778,P57053,P58876,P62805,P62807,P68431,P84243,Q15596,Q16512,Q16777,Q16778,Q6FI13,Q71DI3,Q71UI9,Q8N257,Q93077,Q93079,Q96A08,Q99877,Q99878,Q99879,Q99880,Q9BTM1,Q9H3R0	R-HSA-5625717,R-HSA-5625738,R-HSA-5625745,R-HSA-5625774,R-HSA-5625784,R-HSA-5625796,R-HSA-5625797,R-HSA-5625848,R-HSA-5625849,R-HSA-5625870
R-HSA-2033519	"Activated point mutants of FGFR2"	17	17	1.0	0.5323413269909887	No	0.0	10	22	0.45454545454545453	O15520,O43320,O60258,O76093,P05230,P08620,P09038,P10767,P11487,P12034,P21781,P21802,P31371,P55075,Q9GZV9,Q9HCT0,Q9NP95	R-HSA-2029983,R-HSA-2029984,R-HSA-2033472,R-HSA-2033474,R-HSA-2033479,R-HSA-2033486,R-HSA-2033488,R-HSA-2033490,R-HSA-2077421,R-HSA-2077424
R-HSA-111452	"Activation and oligomerization of BAK protein"	2	2	1.0	0.5940204570806515	No	0.0	3	2	1.5	P55957,Q16611	R-HSA-114263,R-HSA-139895,R-HSA-168848
R-HSA-165158	"Activation of AKT2"	4	4	1.0	0.5665678598010263	No	0.0	3	5	0.6	O15530,P31751,Q5T1C6,Q96RU7	R-HSA-109700,R-HSA-109701,R-HSA-109702
R-HSA-399710	"Activation of AMPA receptors"	4	4	1.0	0.5665678598010263	No	0.0	5	4	1.25	P42261,P42262,P42263,P48058	R-HSA-399711,R-HSA-399712,R-HSA-420975,R-HSA-420977,R-HSA-420980
R-HSA-176814	"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	31	31	1.0	0.5239958491499384	No	0.0	11	32	0.34375	O00762,O43684,O60566,O95997,P06493,P0CG47,P0CG48,P14635,P20248,P30260,P51668,P51955,P51965,P53350,P60006,P62979,P62987,P78396,Q12834,Q13042,Q13257,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13	R-HSA-174104,R-HSA-174119,R-HSA-174120,R-HSA-174121,R-HSA-174132,R-HSA-174144,R-HSA-174171,R-HSA-174227,R-HSA-174238,R-HSA-179410,R-HSA-179417
R-HSA-176187	"Activation of ATR in response to replication stress"	37	37	1.0	0.5219828803590584	No	0.0	9	41	0.21951219512195122	O00311,O14757,O43913,O43929,O60671,O60921,O75419,O75943,P15927,P24941,P25205,P27694,P30304,P30307,P33991,P33992,P33993,P35244,P35249,P35250,P40937,P40938,P49736,Q13415,Q13416,Q13535,Q14566,Q6WBX8,Q7L590,Q8WXE1,Q99638,Q99741,Q9HAW4,Q9UBD5,Q9UBU7,Q9UJA3,Q9Y5N6	R-HSA-176101,R-HSA-176116,R-HSA-176175,R-HSA-176250,R-HSA-176264,R-HSA-176298,R-HSA-176318,R-HSA-69604,R-HSA-75010
R-HSA-111447	"Activation of BAD and translocation to mitochondria "	15	15	1.0	0.5344210151151075	No	0.0	5	16	0.3125	P10415,P27348,P31749,P31751,P31946,P31947,P48454,P55957,P61981,P62258,P63098,P63104,Q04917,Q92934,Q9Y243	R-HSA-139897,R-HSA-139899,R-HSA-139905,R-HSA-139906,R-HSA-198347
R-HSA-114452	"Activation of BH3-only proteins"	30	30	1.0	0.5243890738887678	No	0.0	15	33	0.45454545454545453	O15350,O43521,P04637,P10415,P27348,P31749,P31751,P31946,P31947,P45983,P48454,P55957,P61981,P62258,P63098,P63104,P63167,Q01094,Q04917,Q13625,Q13794,Q14186,Q14188,Q92934,Q96FJ2,Q96KQ4,Q96LC9,Q9BXH1,Q9H3D4,Q9Y243	R-HSA-139897,R-HSA-139899,R-HSA-139905,R-HSA-139906,R-HSA-139908,R-HSA-139909,R-HSA-139914,R-HSA-139918,R-HSA-139919,R-HSA-140216,R-HSA-198347,R-HSA-4331324,R-HSA-4331327,R-HSA-4331331,R-HSA-4331340
R-HSA-111446	"Activation of BIM and translocation to mitochondria "	3	3	1.0	0.5768425830551305	No	0.0	2	4	0.5	O43521,P45983,P63167	R-HSA-139918,R-HSA-139919
R-HSA-139910	"Activation of BMF and translocation to mitochondria"	3	3	1.0	0.5768425830551305	No	0.0	2	4	0.5	P45983,Q96FJ2,Q96LC9	R-HSA-139908,R-HSA-139909
R-HSA-174577	"Activation of C3 and C5"	6	6	1.0	0.55436720271584	No	0.0	3	10	0.3	P00751,P01024,P01031,P06681,P0C0L4,P0C0L5	R-HSA-166817,R-HSA-173636,R-HSA-173680
R-HSA-451308	"Activation of Ca-permeable Kainate Receptor"	10	10	1.0	0.5421311110794712	No	0.0	2	10	0.2	P0DP23,P39086,P61601,P78352,Q12959,Q13002,Q13003,Q16099,Q16478,Q92796	R-HSA-451283,R-HSA-451311
R-HSA-442745	"Activation of CaMK IV"	2	2	1.0	0.5940204570806515	No	0.0	3	3	1.0	P0DP23,Q16566	R-HSA-111913,R-HSA-111915,R-HSA-112282
R-HSA-211227	"Activation of DNA fragmentation factor"	13	13	1.0	0.5369647499225385	No	0.0	11	13	0.8461538461538461	O00273,O76075,P07305,P09429,P10412,P16401,P16402,P16403,P26583,P42574,P52294,Q02539,Q14974	R-HSA-211186,R-HSA-211190,R-HSA-211191,R-HSA-211193,R-HSA-211206,R-HSA-211207,R-HSA-211219,R-HSA-211224,R-HSA-211239,R-HSA-211247,R-HSA-266204
R-HSA-539107	"Activation of E2F1 target genes at G1/S"	3	3	1.0	0.5768425830551305	No	0.0	14	3	4.666666666666667	Q01094,Q14186,Q14188	R-HSA-8961620,R-HSA-8961636,R-HSA-8961651,R-HSA-8961671,R-HSA-8961688,R-HSA-8961840,R-HSA-8961863,R-HSA-8961888,R-HSA-8961907,R-HSA-8961920,R-HSA-8961946,R-HSA-8961961,R-HSA-8961972,R-HSA-8961991
R-HSA-1296041	"Activation of G protein gated Potassium channels"	25	25	1.0	0.5266982692679109	No	0.0	1	25	0.04	O14610,O60262,O75899,P16520,P48050,P48051,P48544,P48549,P50150,P50151,P59768,P62873,P62879,P63211,P63215,P63218,P63252,P78508,Q14500,Q92806,Q99712,Q9NPI9,Q9UBI6,Q9UBS5,Q9UK08	R-HSA-1013020
R-HSA-991365	"Activation of GABAB receptors"	39	39	1.0	0.521417889145627	No	0.0	6	39	0.15384615384615385	A8MTJ3,O14610,O43306,O60262,O60266,O60503,O75899,O95622,P04899,P08754,P16520,P38405,P40145,P48050,P48051,P48544,P48549,P50150,P50151,P51828,P59768,P62873,P62879,P63096,P63211,P63215,P63218,P63252,P78508,Q08462,Q08828,Q14500,Q8NFM4,Q92806,Q99712,Q9NPI9,Q9UBI6,Q9UBS5,Q9UK08	R-HSA-1013020,R-HSA-170666,R-HSA-170671,R-HSA-170674,R-HSA-170686,R-HSA-392206
R-HSA-936964	"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	13	13	1.0	0.5369647499225385	No	0.0	7	19	0.3684210526315789	O00206,P08571,Q06124,Q13114,Q14164,Q14653,Q6SZW1,Q86XR7,Q8IUC6,Q92844,Q92985,Q9UHD2,Q9Y6Y9	R-HSA-166245,R-HSA-166271,R-HSA-168933,R-HSA-177671,R-HSA-2201338,R-HSA-5362486,R-HSA-936941
R-HSA-1592389	"Activation of Matrix Metalloproteinases"	31	31	1.0	0.5239958491499384	No	0.0	24	31	0.7741935483870968	O60911,P00747,P01033,P03952,P03956,P07477,P07478,P08246,P08253,P08254,P08311,P09237,P09238,P09958,P14780,P16035,P17538,P20151,P23946,P24347,P39060,P43235,P45452,P50281,P51511,P51512,Q15661,Q9BQ16,Q9NPA2,Q9ULZ9,Q9Y5R2	R-HSA-1592278,R-HSA-1592297,R-HSA-1592316,R-HSA-1592349,R-HSA-1592362,R-HSA-1592371,R-HSA-1592436,R-HSA-1602454,R-HSA-1602466,R-HSA-1602473,R-HSA-1602484,R-HSA-1602488,R-HSA-1604350,R-HSA-1604359,R-HSA-1604360,R-HSA-1604368,R-HSA-1604690,R-HSA-1604712,R-HSA-1604722,R-HSA-1604731,R-HSA-1604732,R-HSA-1604741,R-HSA-1604752,R-HSA-1604763
R-HSA-1169091	"Activation of NF-kappaB in B cells"	18	18	1.0	0.5314342763065681	No	0.0	5	22	0.22727272727272727	O00221,O14920,O15111,O43318,O95999,P05771,P19838,P25963,P63208,Q04206,Q04864,Q13616,Q15653,Q9BXL7,Q9UDY8,Q9UKB1,Q9Y297,Q9Y6K9	R-HSA-1168373,R-HSA-1168638,R-HSA-1168641,R-HSA-1168642,R-HSA-1168644
